Id,Neighborhood,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenQual,GarageCond
1,CollgCr,5,2003,856,856,854,1710,3,Gd,TA
2,Veenker,8,1976,1262,1262,0,1262,3,TA,TA
3,CollgCr,5,2001,920,920,866,1786,3,Gd,TA
4,Crawfor,5,1915,756,961,756,1717,3,Gd,TA
5,NoRidge,5,2000,1145,1145,1053,2198,4,Gd,TA
6,Mitchel,5,1993,796,796,566,1362,1,TA,TA
7,Somerst,5,2004,1686,1694,0,1694,3,Gd,TA
8,NWAmes,6,1973,1107,1107,983,2090,3,TA,TA
9,OldTown,5,1931,952,1022,752,1774,2,TA,TA
10,BrkSide,6,1939,991,1077,0,1077,2,TA,TA
11,Sawyer,5,1965,1040,1040,0,1040,3,TA,TA
12,NridgHt,5,2005,1175,1182,1142,2324,4,Ex,TA
13,Sawyer,6,1962,912,912,0,912,2,TA,TA
14,CollgCr,5,2006,1494,1494,0,1494,3,Gd,TA
15,NAmes,5,1960,1253,1253,0,1253,2,TA,TA
16,BrkSide,8,1929,832,854,0,854,2,TA,TA
17,NAmes,7,1970,1004,1004,0,1004,2,TA,TA
18,Sawyer,5,1967,0,1296,0,1296,2,TA,TA
19,SawyerW,5,2004,1114,1114,0,1114,3,Gd,TA
20,NAmes,6,1958,1029,1339,0,1339,3,TA,TA
21,NridgHt,5,2005,1158,1158,1218,2376,4,Gd,TA
22,IDOTRR,7,1930,637,1108,0,1108,3,Gd,TA
23,CollgCr,5,2002,1777,1795,0,1795,3,Gd,TA
24,MeadowV,7,1976,1040,1060,0,1060,3,TA,TA
25,Sawyer,8,1968,1060,1060,0,1060,3,Gd,TA
26,NridgHt,5,2007,1566,1600,0,1600,3,Gd,TA
27,NAmes,7,1951,900,900,0,900,3,Gd,TA
28,NridgHt,5,2007,1704,1704,0,1704,3,Gd,TA
29,NAmes,6,1957,1484,1600,0,1600,2,TA,TA
30,BrkSide,6,1927,520,520,0,520,1,Fa,TA
31,IDOTRR,4,1920,649,649,668,1317,3,TA,Fa
32,Sawyer,6,1966,1228,1228,0,1228,3,Gd,TA
33,CollgCr,5,2007,1234,1234,0,1234,3,Gd,TA
34,NAmes,5,1959,1398,1700,0,1700,4,Gd,TA
35,NridgHt,5,2005,1561,1561,0,1561,2,Ex,TA
36,NridgHt,5,2004,1117,1132,1320,2452,4,Gd,TA
37,CollgCr,5,1994,1097,1097,0,1097,3,TA,TA
38,NAmes,6,1954,1297,1297,0,1297,3,TA,TA
39,NAmes,7,1953,1057,1057,0,1057,3,Gd,TA
40,Edwards,5,1955,0,1152,0,1152,2,Fa,
41,NAmes,5,1965,1088,1324,0,1324,3,TA,TA
42,Timber,6,1959,1350,1328,0,1328,2,TA,TA
43,SawyerW,7,1983,840,884,0,884,2,Gd,Gd
44,CollgCr,6,1975,938,938,0,938,3,TA,TA
45,NAmes,6,1959,1150,1150,0,1150,3,TA,TA
46,NridgHt,5,2005,1752,1752,0,1752,2,Ex,TA
47,Mitchel,5,2003,1434,1518,631,2149,1,Gd,TA
48,Somerst,5,2006,1656,1656,0,1656,3,Gd,TA
49,OldTown,5,1920,736,736,716,1452,2,TA,
50,Sawyer,7,1966,955,955,0,955,3,TA,TA
51,Gilbert,6,1997,794,794,676,1470,3,TA,TA
52,BrkSide,6,1934,816,816,0,1176,3,TA,TA
53,IDOTRR,5,1963,816,816,0,816,2,TA,TA
54,Veenker,5,1981,1842,1842,0,1842,0,Gd,TA
55,NAmes,5,1955,384,1360,0,1360,3,TA,TA
56,NAmes,5,1964,1425,1425,0,1425,3,TA,TA
57,Somerst,5,1999,970,983,756,1739,3,Gd,TA
58,CollgCr,5,2004,860,860,860,1720,3,Gd,TA
59,StoneBr,5,2006,1410,1426,1519,2945,3,Gd,TA
60,CollgCr,7,1972,780,780,0,780,2,TA,TA
61,SawyerW,5,2004,1158,1158,0,1158,3,Gd,TA
62,IDOTRR,7,1920,530,581,530,1111,3,Fa,TA
63,NridgHt,5,2006,1370,1370,0,1370,2,Gd,TA
64,OldTown,6,1921,576,902,808,1710,3,TA,TA
65,CollgCr,5,1997,1057,1057,977,2034,3,Gd,TA
66,NridgHt,5,2004,1143,1143,1330,2473,4,Gd,TA
67,NAmes,5,1970,1947,2207,0,2207,3,TA,TA
68,CollgCr,5,2003,1453,1479,0,1479,3,Gd,TA
69,OldTown,6,1945,747,747,0,747,2,TA,TA
70,ClearCr,4,1953,1304,1304,983,2287,3,TA,TA
71,NAmes,6,1973,2223,2223,0,2223,3,TA,TA
72,Mitchel,6,1982,845,845,0,845,2,TA,TA
73,Gilbert,5,1998,832,885,833,1718,3,TA,TA
74,NAmes,7,1954,1086,1086,0,1086,3,TA,TA
75,OldTown,6,1915,840,840,765,1605,3,TA,TA
76,MeadowV,5,1973,462,526,462,988,2,TA,TA
77,NAmes,7,1956,952,952,0,952,2,TA,TA
78,BrkSide,5,1948,672,1072,213,1285,2,TA,TA
79,Sawyer,5,1968,1768,1768,0,1768,4,TA,
80,OldTown,6,1910,440,682,548,1230,2,TA,TA
81,NAmes,6,1968,896,1182,960,2142,4,Gd,TA
82,Mitchel,5,1998,1237,1337,0,1337,2,TA,TA
83,Somerst,5,2007,1563,1563,0,1563,3,Gd,TA
84,NAmes,5,1960,1065,1065,0,1065,3,TA,TA
85,Gilbert,5,1995,384,804,670,1474,3,TA,TA
86,NoRidge,5,1991,1288,1301,1116,2417,4,Gd,TA
87,Gilbert,5,2005,684,684,876,1560,3,Gd,TA
88,Somerst,5,2009,612,612,612,1224,2,Gd,TA
89,IDOTRR,2,1915,1013,1013,0,1526,2,Fa,
90,CollgCr,5,1994,990,990,0,990,3,TA,
91,NAmes,5,1950,0,1040,0,1040,2,TA,TA
92,NAmes,3,1961,1235,1235,0,1235,2,TA,TA
93,Crawfor,7,1921,876,964,0,964,2,TA,TA
94,OldTown,6,1910,1214,1260,1031,2291,4,TA,TA
